source,target,id,group
0,0,0,1
0,1,1,1
0,5,2,21
0,6,3,21
0,17,4,21
0,18,5,25
0,64,6,25
0,73,7,14
0,74,8,14
0,88,9,14
0,101,10,9
1,1,11,14
2,2,12,14
2,3,13,26
2,4,14,4
2,5,15,17
2,6,16,34
2,13,17,1
2,54,18,1
2,55,19,14
2,56,20,9
2,57,21,9
2,58,22,9
2,59,23,11
2,63,24,11
2,64,25,11
2,86,26,11
2,89,27,11
2,96,28,11
3,2,29,11
3,3,30,11
3,4,31,11
3,6,32,11
3,46,33,11
3,56,34,11
3,57,35,11
3,58,36,11
3,59,37,11
3,62,38,11
3,63,39,11
3,89,40,11
4,2,41,5
4,3,42,34
4,4,43,14
4,6,44,14
4,13,45,17
4,54,46,17
4,55,47,10
4,56,48,10
4,57,49,36
4,58,50,37
4,59,51,5
4,62,52,7
4,63,53,4
4,81,54,22
4,82,55,22
4,89,56,21
4,96,57,21
5,0,58,21
5,2,59,21
5,5,60,7
5,6,61,7
5,7,62,36
5,11,63,21
5,21,64,25
5,24,65,4
5,29,66,8
5,34,67,15
5,35,68,15
5,41,69,15
5,42,70,37
5,47,71,37
5,53,72,9
5,55,73,1
5,57,74,1
5,58,75,10
5,59,76,10
5,63,77,3
5,64,78,3
5,74,79,3
5,76,80,29
5,82,81,15
5,89,82,36
5,96,83,36
5,97,84,37
5,99,85,1
5,100,86,36
6,0,87,34
6,2,88,20
6,3,89,20
6,4,90,8
6,5,91,15
6,6,92,9
6,21,93,4
6,54,94,5
6,55,95,4
6,56,96,20
6,57,97,16
6,58,98,16
6,59,99,16
6,63,100,16
6,64,,
6,79,,
6,89,,
6,96,,
7,5,,
7,7,,
7,8,,
7,11,,
7,12,,
7,19,,
7,44,,
7,62,,
7,86,,
8,7,,
8,8,,
8,9,,
8,11,,
8,12,,
8,44,,
8,86,,
9,8,,
9,9,,
9,19,,
9,44,,
10,11,,
10,13,,
10,20,,
10,21,,
10,25,,
10,36,,
10,64,,
10,69,,
10,82,,
10,86,,
10,96,,
11,7,,
11,8,,
11,10,,
11,11,,
11,12,,
11,20,,
11,21,,
11,22,,
11,44,,
11,64,,
11,90,,
11,91,,
11,92,,
12,7,,
12,8,,
12,11,,
12,12,,
12,13,,
12,14,,
12,19,,
12,44,,
12,62,,
12,82,,
12,86,,
13,2,,
13,4,,
13,10,,
13,13,,
13,15,,
13,19,,
13,21,,
13,23,,
13,25,,
13,26,,
13,27,,
13,29,,
13,30,,
13,32,,
13,33,,
13,35,,
13,36,,
13,38,,
13,39,,
13,40,,
13,47,,
13,51,,
13,53,,
13,56,,
13,63,,
13,65,,
13,69,,
13,78,,
13,79,,
13,83,,
13,90,,
13,93,,
13,94,,
13,95,,
13,96,,
13,98,,
14,12,,
14,14,,
14,18,,
14,47,,
14,51,,
14,53,,
14,61,,
14,64,,
14,65,,
14,79,,
14,85,,
14,86,,
14,93,,
15,15,,
15,16,,
15,45,,
15,46,,
15,62,,
15,82,,
16,44,,
16,63,,
16,64,,
16,68,,
16,80,,
16,81,,
17,0,,
17,1,,
17,17,,
17,18,,
17,21,,
17,23,,
17,41,,
17,42,,
17,62,,
17,73,,
17,74,,
17,82,,
17,83,,
17,85,,
17,86,,
17,87,,
18,0,,
18,17,,
18,18,,
18,62,,
18,74,,
18,85,,
18,86,,
19,7,,
19,11,,
19,12,,
19,19,,
19,42,,
19,44,,
19,49,,
19,62,,
19,83,,
20,10,,
20,11,,
20,20,,
20,21,,
20,22,,
20,28,,
20,42,,
20,62,,
20,68,,
20,72,,
20,74,,
20,80,,
20,81,,
20,82,,
20,83,,
20,86,,
20,92,,
20,96,,
21,1,,
21,5,,
21,6,,
21,10,,
21,11,,
21,13,,
21,17,,
21,20,,
21,21,,
21,22,,
21,28,,
21,29,,
21,36,,
21,41,,
21,42,,
21,44,,
21,46,,
21,62,,
21,64,,
21,68,,
21,72,,
21,74,,
21,80,,
21,81,,
21,82,,
21,83,,
21,86,,
21,87,,
21,92,,
21,96,,
22,11,,
22,20,,
22,21,,
22,22,,
22,35,,
22,92,,
23,13,,
23,23,,
23,24,,
23,25,,
23,26,,
23,27,,
23,28,,
23,29,,
23,30,,
23,31,,
23,32,,
23,33,,
23,34,,
23,35,,
23,36,,
23,37,,
23,38,,
23,39,,
23,40,,
23,62,,
23,82,,
23,87,,
23,96,,
24,23,,
24,24,,
24,25,,
24,26,,
24,27,,
24,28,,
24,29,,
24,30,,
24,31,,
24,32,,
24,33,,
24,34,,
24,35,,
24,36,,
24,37,,
24,38,,
24,39,,
24,40,,
24,64,,
24,96,,
25,10,,
25,23,,
25,24,,
25,26,,
25,30,,
25,34,,
25,36,,
25,38,,
25,40,,
26,23,,
26,24,,
26,25,,
26,26,,
26,27,,
26,28,,
26,29,,
26,32,,
26,34,,
26,35,,
26,38,,
26,40,,
26,47,,
27,23,,
27,24,,
27,25,,
27,26,,
27,27,,
27,28,,
27,29,,
27,30,,
27,31,,
27,32,,
27,33,,
27,34,,
27,35,,
27,36,,
27,37,,
27,38,,
27,39,,
27,40,,
27,51,,
27,62,,
27,93,,
28,20,,
28,21,,
28,23,,
28,24,,
28,25,,
28,26,,
28,27,,
28,28,,
28,29,,
28,30,,
28,31,,
28,32,,
28,33,,
28,34,,
28,35,,
28,36,,
28,37,,
28,38,,
28,39,,
28,40,,
28,44,,
28,46,,
28,51,,
28,62,,
28,63,,
28,80,,
28,81,,
28,86,,
28,87,,
28,96,,
29,5,,
29,21,,
29,23,,
29,24,,
29,25,,
29,26,,
29,27,,
29,28,,
29,29,,
29,30,,
29,31,,
29,32,,
29,33,,
29,34,,
29,35,,
29,36,,
29,37,,
29,38,,
29,39,,
29,40,,
29,51,,
29,62,,
30,23,,
30,24,,
30,25,,
30,26,,
30,27,,
30,28,,
30,29,,
30,30,,
30,31,,
30,32,,
30,33,,
30,34,,
30,35,,
30,36,,
30,37,,
30,38,,
30,39,,
30,40,,
30,41,,
30,44,,
30,51,,
30,62,,
30,82,,
30,86,,
31,23,,
31,24,,
31,27,,
31,28,,
31,29,,
31,30,,
31,31,,
31,32,,
31,33,,
31,35,,
31,36,,
31,37,,
31,39,,
31,40,,
31,51,,
31,82,,
31,96,,
32,23,,
32,24,,
32,26,,
32,27,,
32,28,,
32,30,,
32,31,,
32,32,,
32,33,,
32,35,,
32,40,,
33,23,,
33,27,,
33,28,,
33,29,,
33,30,,
33,31,,
33,32,,
33,33,,
33,34,,
33,35,,
33,39,,
33,40,,
34,5,,
34,23,,
34,24,,
34,25,,
34,26,,
34,27,,
34,28,,
34,29,,
34,30,,
34,31,,
34,32,,
34,33,,
34,34,,
34,35,,
34,36,,
34,37,,
34,38,,
34,39,,
34,40,,
34,54,,
35,5,,
35,14,,
35,23,,
35,24,,
35,25,,
35,26,,
35,27,,
35,28,,
35,29,,
35,30,,
35,31,,
35,32,,
35,33,,
35,34,,
35,35,,
35,36,,
35,37,,
35,38,,
35,39,,
35,40,,
35,51,,
35,62,,
36,10,,
36,21,,
36,23,,
36,25,,
36,28,,
36,29,,
36,30,,
36,31,,
36,36,,
36,48,,
37,23,,
37,24,,
37,25,,
37,26,,
37,27,,
37,28,,
37,29,,
37,30,,
37,31,,
37,32,,
37,33,,
37,34,,
37,35,,
37,36,,
37,37,,
37,38,,
37,39,,
37,40,,
37,48,,
37,86,,
37,96,,
38,23,,
38,25,,
38,26,,
38,27,,
38,28,,
38,29,,
38,30,,
38,31,,
38,33,,
38,35,,
38,37,,
38,38,,
38,39,,
38,40,,
38,47,,
38,48,,
38,86,,
39,23,,
39,27,,
39,28,,
39,29,,
39,34,,
39,35,,
39,39,,
39,40,,
39,86,,
40,23,,
40,24,,
40,25,,
40,26,,
40,27,,
40,28,,
40,29,,
40,30,,
40,31,,
40,32,,
40,33,,
40,34,,
40,35,,
40,37,,
40,38,,
40,39,,
40,40,,
40,47,,
40,48,,
40,75,,
40,93,,
41,5,,
41,14,,
41,23,,
41,28,,
41,30,,
41,41,,
41,42,,
41,47,,
41,51,,
41,62,,
41,63,,
41,85,,
41,86,,
41,87,,
41,93,,
41,94,,
41,95,,
42,5,,
42,17,,
42,19,,
42,20,,
42,23,,
42,41,,
42,42,,
42,44,,
42,58,,
42,64,,
42,74,,
42,81,,
42,83,,
42,87,,
43,43,,
43,44,,
44,7,,
44,8,,
44,9,,
44,10,,
44,11,,
44,12,,
44,16,,
44,19,,
44,30,,
44,43,,
44,44,,
44,51,,
44,62,,
44,82,,
44,86,,
45,15,,
45,16,,
45,45,,
45,46,,
45,62,,
46,3,,
46,15,,
46,16,,
46,21,,
46,45,,
46,46,,
46,63,,
46,96,,
47,14,,
47,26,,
47,38,,
47,40,,
47,41,,
47,47,,
47,48,,
47,76,,
47,79,,
47,86,,
47,96,,
48,27,,
48,36,,
48,37,,
48,39,,
48,40,,
48,47,,
48,48,,
48,50,,
48,75,,
48,76,,
48,84,,
48,96,,
49,49,,
49,50,,
49,71,,
49,83,,
49,84,,
49,87,,
50,48,,
50,49,,
50,50,,
50,71,,
50,84,,
50,87,,
51,27,,
51,28,,
51,29,,
51,30,,
51,35,,
51,41,,
51,44,,
51,51,,
51,64,,
51,79,,
51,82,,
51,85,,
51,93,,
51,95,,
51,100,,
52,1,,
52,52,,
52,53,,
52,61,,
53,14,,
53,18,,
53,61,,
53,82,,
53,85,,
54,2,,
54,6,,
54,34,,
54,54,,
54,55,,
54,56,,
54,57,,
54,58,,
54,59,,
54,63,,
54,88,,
54,89,,
54,96,,
55,2,,
55,3,,
55,6,,
55,54,,
55,55,,
55,56,,
55,57,,
55,58,,
55,59,,
55,86,,
56,2,,
56,3,,
56,4,,
56,6,,
56,54,,
56,55,,
56,56,,
56,57,,
56,58,,
56,59,,
56,63,,
56,89,,
56,96,,
57,2,,
57,3,,
57,4,,
57,5,,
57,6,,
57,54,,
57,55,,
57,56,,
57,57,,
57,58,,
57,59,,
57,63,,
57,64,,
57,88,,
57,89,,
57,96,,
58,2,,
58,3,,
58,4,,
58,5,,
58,6,,
58,13,,
58,54,,
58,55,,
58,56,,
58,57,,
58,58,,
58,59,,
58,62,,
58,63,,
58,81,,
58,82,,
58,83,,
58,84,,
58,86,,
58,87,,
58,88,,
58,89,,
58,96,,
59,2,,
59,3,,
59,4,,
59,5,,
59,6,,
59,54,,
59,55,,
59,56,,
59,57,,
59,58,,
59,59,,
59,63,,
59,89,,
59,96,,
60,60,,
60,61,,
60,95,,
61,14,,
61,19,,
61,52,,
61,60,,
61,61,,
61,64,,
61,95,,
62,2,,
62,3,,
62,4,,
62,7,,
62,8,,
62,12,,
62,15,,
62,17,,
62,18,,
62,19,,
62,21,,
62,23,,
62,28,,
62,29,,
62,30,,
62,35,,
62,41,,
62,44,,
62,45,,
62,58,,
62,62,,
62,63,,
62,64,,
62,68,,
62,70,,
62,77,,
62,78,,
62,79,,
62,80,,
62,81,,
62,82,,
62,83,,
62,86,,
62,87,,
62,89,,
62,90,,
62,98,,
62,99,,
63,2,,
63,3,,
63,4,,
63,6,,
63,13,,
63,16,,
63,28,,
63,41,,
63,44,,
63,46,,
63,54,,
63,55,,
63,56,,
63,57,,
63,58,,
63,59,,
63,62,,
63,63,,
63,81,,
63,82,,
63,87,,
63,88,,
63,89,,
64,5,,
64,6,,
64,11,,
64,14,,
64,21,,
64,24,,
64,42,,
64,51,,
64,61,,
64,64,,
64,65,,
64,68,,
64,74,,
64,80,,
64,87,,
64,89,,
64,90,,
64,91,,
64,93,,
64,94,,
64,95,,
64,96,,
64,99,,
65,0,,
65,14,,
65,51,,
65,53,,
65,64,,
65,65,,
65,92,,
65,94,,
65,101,,
66,48,,
66,64,,
66,66,,
66,67,,
66,90,,
66,91,,
66,96,,
67,66,,
67,74,,
67,86,,
68,16,,
68,20,,
68,21,,
68,62,,
68,68,,
68,69,,
68,80,,
68,82,,
68,86,,
69,10,,
69,13,,
69,64,,
69,68,,
69,69,,
69,80,,
69,81,,
69,86,,
69,87,,
70,62,,
70,71,,
70,83,,
70,84,,
71,49,,
71,50,,
71,70,,
71,71,,
71,83,,
71,84,,
72,20,,
72,21,,
73,0,,
73,17,,
73,73,,
73,74,,
73,84,,
74,0,,
74,1,,
74,17,,
74,18,,
74,20,,
74,21,,
74,42,,
74,62,,
74,64,,
74,67,,
74,73,,
74,74,,
74,85,,
74,86,,
74,87,,
75,36,,
75,40,,
75,48,,
75,75,,
75,76,,
75,96,,
76,47,,
76,48,,
76,75,,
76,76,,
76,96,,
77,62,,
77,78,,
77,79,,
79,13,,
79,14,,
79,47,,
79,51,,
79,62,,
79,77,,
79,78,,
79,79,,
80,16,,
80,20,,
80,21,,
80,28,,
80,62,,
80,68,,
80,80,,
80,81,,
80,82,,
80,92,,
80,96,,
81,3,,
81,16,,
81,20,,
81,21,,
81,28,,
81,42,,
81,44,,
81,46,,
81,62,,
81,63,,
81,69,,
81,80,,
81,81,,
81,82,,
81,86,,
81,87,,
82,1,,
82,4,,
82,5,,
82,10,,
82,12,,
82,17,,
82,18,,
82,20,,
82,21,,
82,23,,
82,27,,
82,28,,
82,30,,
82,31,,
82,36,,
82,41,,
82,44,,
82,46,,
82,50,,
82,51,,
82,53,,
82,58,,
82,62,,
82,63,,
82,68,,
82,74,,
82,77,,
82,78,,
82,80,,
82,81,,
82,82,,
82,83,,
82,84,,
82,86,,
82,87,,
82,93,,
82,96,,
82,99,,
83,13,,
83,20,,
83,23,,
83,41,,
83,44,,
83,46,,
83,62,,
83,63,,
83,71,,
83,81,,
83,82,,
83,83,,
83,84,,
83,86,,
83,87,,
83,96,,
83,101,,
84,1,,
84,13,,
84,18,,
84,30,,
84,31,,
84,37,,
84,39,,
84,48,,
84,49,,
84,50,,
84,57,,
84,58,,
84,62,,
84,70,,
84,71,,
84,73,,
84,75,,
84,77,,
84,82,,
84,83,,
84,84,,
84,86,,
84,87,,
85,1,,
85,17,,
85,18,,
85,41,,
85,51,,
85,74,,
85,85,,
85,86,,
86,7,,
86,8,,
86,10,,
86,12,,
86,14,,
86,18,,
86,19,,
86,20,,
86,21,,
86,23,,
86,28,,
86,30,,
86,31,,
86,33,,
86,35,,
86,36,,
86,37,,
86,38,,
86,41,,
86,42,,
86,44,,
86,47,,
86,55,,
86,58,,
86,62,,
86,65,,
86,67,,
86,68,,
86,69,,
86,70,,
86,74,,
86,79,,
86,81,,
86,82,,
86,83,,
86,84,,
86,85,,
86,86,,
86,87,,
86,90,,
86,92,,
86,94,,
86,95,,
86,96,,
86,98,,
86,100,,
87,13,,
87,17,,
87,20,,
87,21,,
87,23,,
87,28,,
87,41,,
87,42,,
87,45,,
87,49,,
87,50,,
87,58,,
87,74,,
87,77,,
87,81,,
87,82,,
87,83,,
87,84,,
87,87,,
88,0,,
88,88,,
88,89,,
88,96,,
89,2,,
89,3,,
89,4,,
89,10,,
89,54,,
89,57,,
89,58,,
89,59,,
89,62,,
89,63,,
89,64,,
89,76,,
89,88,,
89,89,,
89,91,,
89,96,,
90,11,,
90,13,,
90,62,,
90,66,,
90,86,,
90,90,,
90,91,,
91,11,,
91,64,,
91,66,,
91,89,,
91,90,,
91,91,,
91,96,,
92,11,,
92,20,,
92,21,,
92,22,,
92,65,,
92,68,,
92,72,,
92,80,,
92,86,,
92,92,,
92,96,,
92,100,,
93,14,,
93,16,,
93,25,,
93,27,,
93,28,,
93,29,,
93,30,,
93,32,,
93,36,,
93,39,,
93,40,,
93,41,,
93,51,,
93,62,,
93,64,,
93,78,,
93,86,,
93,93,,
93,95,,
94,41,,
94,86,,
94,94,,
94,95,,
95,6,,
95,13,,
95,41,,
95,51,,
95,60,,
95,61,,
95,64,,
95,93,,
95,94,,
95,95,,
96,4,,
96,6,,
96,10,,
96,13,,
96,20,,
96,21,,
96,23,,
96,24,,
96,28,,
96,31,,
96,46,,
96,47,,
96,48,,
96,56,,
96,57,,
96,58,,
96,59,,
96,64,,
96,66,,
96,76,,
96,80,,
96,86,,
96,88,,
96,89,,
96,91,,
96,92,,
96,96,,
96,100,,
96,101,,
97,5,,
97,97,,
97,98,,
97,99,,
97,100,,
97,101,,
98,62,,
98,64,,
98,86,,
98,97,,
98,98,,
98,99,,
98,100,,
99,62,,
99,82,,
99,97,,
99,98,,
99,99,,
99,100,,
99,101,,
100,5,,
100,51,,
100,62,,
100,86,,
100,92,,
100,96,,
100,97,,
100,98,,
100,99,,
100,100,,
100,101,,
